"product_title：VIZIO 32 inch D-Series HD 720p Smart TV with Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D32h-J, 2022 Model"
asin：B094RKDNMZ
product_link：https://www.amazon.com/-/zh/dp/B094RKDNMZ/ref=sims_dp_d_dex_popular_subs_t1_v6_d_sccl_2_6/145-6930307-1678620?pd_rd_w=xQWmL&content-id=amzn1.sym.7e9f1c55-8db7-45c5-bfbf-adf1bc16de34&pf_rd_p=7e9f1c55-8db7-45c5-bfbf-adf1bc16de34&pf_rd_r=3NVT4J6HG1720G4Z1QMH&pd_rd_wg=Rgbjt&pd_rd_r=ada5fa29-2a7d-44db-99fc-642b1a6d2041&pd_rd_i=B094RKDNMZ&th=1
image_url：https://m.media-amazon.com/images/I/81qFhtzh5KL._AC_SX679_.jpg
crawling_time：2024-11-22 15:43:57
评论星级统计：
1星评论数量：58
2星评论数量：19
3星评论数量：23
总评论数量：100
rating,title,content,date,verified
1.0,,"I will never purchase a TV again from Amazon or Vizio. The customer service is horrible when the TV stops working. I tried to get it returned to Amazon. They said their days had passed for me to get it returned to them. I purchased it on October 25 And it stopped working on December 22. I was then redirected to Vizio. She had me do the check on the TV. We spent about 30 to 45 minutes doing this. Unplugging it plugging it back using the remote we did all those things she had me go find the manual turn off and turn on. It’s so far in the back I couldn’t reach it because I can’t hardly walk , I told her I had to use a wheelchair or walker to get to the TV because I’m non-amatory. You would think she would have some understanding about that. Oh no. She said in order for me to return the phone I’ll get some service I had to go through the walk-through and try to see if I can get the TV to work. I called the bureau of business and I registered a complaint about Vizio and their poor service. I told her I still had the box to the TV that I would return it and its original box. If she would either send me a new I called the bureau of business and I registered a complaint about Vizio and their poor service. I told her I still had the box to the TV that I would return it and it’s original box. If she would either send me a new TV or send me my money back . Oh no, she couldn’t do that. They are the worst company in the world and Amazon service has gone down the toilet. I’m thinking about not doing any more purchasing with Amazon either.","Reviewed in the United States on December 22, 2023",True
3.0,,"I needed an inexpensive small TV for the garage and chose the Vizio 32"", So far, two issues: (1) image brightness is uneven across the screen. There are three bright spots in the upper middle part of the screen and my eyes seem to focus on them. No playing with the controls changes this problem. (2) the TV was assembled with a defect; the plastic border surrounding the image area was glued on at the op (slightly curved framework) without being fully pressed down. So the bright backup light shines through a narrow gap, maybe 1/16 inch wide in the top middle of the TV. I covered it with black electrical tape to hide the defect and stop the light from showing. Not very impressive, even for the modest cost. But it does work, so it is not a total loss.","Reviewed in the United States on November 11, 2023",True
3.0,,This is the 1st time I've purchased a Vizio television. The screws don't fit--have to get smaller diameter screws. Never had that problem before. 😕,"Reviewed in the United States on November 4, 2024",True
3.0,,"Great color but terrible to try to set up Need a PHD in tv technology My son-inlaw is an Engineer and he had a hard time with it Every time you turned it on ,you had to start all over setting it up. Just not user friendly for older people it is probably a very good Tv just not for older people to try and set up.","Reviewed in the United States on August 26, 2024",True
3.0,,I like it but too big for me! Not sage for my animals or me!,"Reviewed in the United States on September 9, 2024",True
3.0,,"I bought this TV for my cats so they can watch cat TV on youtube while I'm at work.
Unfortunately this TV has a super annoying ""are you still watching"" feature that I can't for the life of me figure out how to turn off.
I can't find it in the manual and I can't find it flipping through menus. Every time I come home the video is paused and when you hit ""yes"" sometimes it plays fine, sometimes you get the loading circle that never ends.
I'm 95% positive this is a TV feature and not a youtube feature because my bedroom TV doesn't pause on the cat videos and my boyfriend falls asleep to youtube videos all the time and they also don't pause.","Reviewed in the United States on April 23, 2024",True
2.0,,"It’s a decent tv when it works. I don’t use it often but when I do 50% of the time it’s not working or having trouble connecting to the Wi-Fi. I have other devices that are connected to my Wi-Fi and even when those aren’t it’s not working. The phone app also does not work, I have had to reset the app 3 times in the few times I’ve had it for 2 months. If I used it more often I would have realized the problem earlier and returned it. I bought an insignia TV about the same price and size a couple years ago and I haven’t had any issues.","Reviewed in the United States on October 1, 2024",True
2.0,,"I bought this particular TV because it was advertised as being able to be operated without internet. Nowhere in the product description is the requirement that the operation of the TV requires linking the TV with a VISO account which must be done with a router connected to the internet. Additionally, there was no access to the operating manual prior to purchase and I never received an actual manual. Possibly one is available on line, but I have not been able to find one. While I can access the internet via hot spot, all internet access must go through the VISO app.
The picture is adequate and I can use an antenna to access programming. So I have rated this product a 2. I would never have purchased this item had its specs been honestly and accurately presented. I am only keeping it because its far too much trouble to return and repurchase a more suitable devise.","Reviewed in the United States on August 5, 2024",True
3.0,,"This tv is great! However we purchased it specifically for its Bluetooth & wireless capabilities, for our rv. The Bluetooth enabled in this divice CAN NOT pair headphones, or external wireless speakers. It can ONLY read wifi connection needed for the pre-installed apps to work. It only comes with the TV, remote with batteries and stand, no cables are provided to connect to external audio. I gave 3 stars for false advertising of its Bluetooth when ""wifi connective"" would have been spot on and accurate. I'm old, so I did have the cables I needed.. .at home, miles and miles away.","Reviewed in the United States on March 14, 2024",True
3.0,,"Bought this for a game room, but it was not setup for Bluetooth capable for wireless headphones for gaming system or gaming chair.","Reviewed in the United States on June 24, 2024",True
